user_id,product_id,event_type,timestamp,device
U1,1,view,2025-01-01 10:01:00,web
U1,1,click,2025-01-01 10:02:10,web
U1,2,view,2025-01-01 10:05:30,web
U1,2,add_to_cart,2025-01-01 10:06:15,web
U1,3,view,2025-01-01 10:10:00,web
U2,3,view,2025-01-01 11:15:45,mobile
U2,3,click,2025-01-01 11:16:10,mobile
U2,4,view,2025-01-01 11:18:00,mobile
U2,5,view,2025-01-01 11:20:30,mobile
U3,2,view,2025-01-01 12:10:20,web
U3,2,click,2025-01-01 12:11:05,web
U3,5,view,2025-01-01 12:13:40,web
U3,6,view,2025-01-01 12:15:10,web
U4,1,view,2025-01-01 13:25:00,mobile
U4,1,click,2025-01-01 13:26:30,mobile
U4,3,view,2025-01-01 13:28:10,mobile
U4,7,view,2025-01-01 13:30:45,mobile
U5,4,view,2025-01-01 14:05:55,web
U5,4,add_to_cart,2025-01-01 14:06:40,web
U5,2,view,2025-01-01 14:10:15,web
U5,8,view,2025-01-01 14:12:30,web
U6,5,view,2025-01-01 15:45:00,mobile
U6,5,click,2025-01-01 15:46:10,mobile
U6,9,view,2025-01-01 15:48:00,mobile
U7,3,view,2025-01-01 16:20:30,web
U7,3,click,2025-01-01 16:21:45,web
U7,10,view,2025-01-01 16:24:10,web
U8,1,view,2025-01-01 17:05:10,mobile
U8,2,view,2025-01-01 17:06:25,mobile
U8,11,view,2025-01-01 17:08:40,mobile
U9,4,view,2025-01-01 18:30:00,web
U9,4,click,2025-01-01 18:31:20,web
U9,12,view,2025-01-01 18:33:10,web
U10,5,view,2025-01-01 19:10:45,mobile
U10,13,view,2025-01-01 19:12:00,mobile
U11,6,view,2025-01-01 19:30:10,web
U11,6,click,2025-01-01 19:31:00,web
U11,14,view,2025-01-01 19:33:20,web
U12,7,view,2025-01-01 19:45:00,mobile
U12,15,view,2025-01-01 19:47:30,mobile
U13,8,view,2025-01-01 20:05:15,web
U13,8,click,2025-01-01 20:06:10,web
U13,16,view,2025-01-01 20:08:40,web
U14,9,view,2025-01-01 20:30:00,mobile
U14,17,view,2025-01-01 20:32:20,mobile
U15,10,view,2025-01-01 20:55:45,web
U15,10,add_to_cart,2025-01-01 20:56:30,web
U15,18,view,2025-01-01 20:58:10,web
U16,11,view,2025-01-01 21:10:00,mobile
U16,19,view,2025-01-01 21:12:25,mobile
U17,12,view,2025-01-01 21:30:40,web
U17,12,click,2025-01-01 21:31:30,web
U17,20,view,2025-01-01 21:33:50,web
U18,13,view,2025-01-01 21:50:00,mobile
U18,14,view,2025-01-01 21:52:10,mobile
U19,15,view,2025-01-01 22:05:30,web
U19,16,view,2025-01-01 22:07:40,web
U20,17,view,2025-01-01 22:25:00,mobile
U20,18,view,2025-01-01 22:27:15,mobile
U20,19,view,2025-01-01 22:29:40,mobile
U20,20,view,2025-01-01 22:31:55,mobile
